project,risk,status,compliance,report_count,has_schedule,scope,office,month,year,day,risk_previous1,risk_previous2,risk_previous3,project_risk_likelihood,estimated_days_finish,report_word_count,poa_word_count,manager_risk_likelihood,manager_project_count
e2e45cffc8c59bbce39642b8bb33135455770975,0.0,não iniciado,0.0667,2,0,Estruturante,CENIN,3,2016,17.13932980599647,0,0,0,0.004149377593360996,206.8941798941799,66.3482280431433,24.486902927580893,0.009174311926605505,1
e2e45cffc8c59bbce39642b8bb33135455770975,0.0,não iniciado,0.0667,2,0,Estruturante,CENIN,4,2016,17.13932980599647,0,0,0,0.003816793893129771,206.8941798941799,66.3482280431433,24.486902927580893,0.008368200836820083,1
e2e45cffc8c59bbce39642b8bb33135455770975,0.0,sem relatório,0.0667,2,0,Estruturante,CENIN,5,2016,17.13932980599647,0,0,0,0.0036900369003690036,206.8941798941799,66.3482280431433,24.486902927580893,0.008064516129032258,1
e2e45cffc8c59bbce39642b8bb33135455770975,0.0,em andamento,0.0667,2,0,Estruturante,CENIN,6,2016,28.0,0,0,0,0.0035714285714285713,549.0,66.3482280431433,24.486902927580893,0.007782101167315175,1
e2e45cffc8c59bbce39642b8bb33135455770975,0.0,em andamento,0.0667,2,0,Estruturante,CENIN,7,2016,17.13932980599647,0,0,0,0.003484320557491289,206.8941798941799,66.3482280431433,24.486902927580893,0.007575757575757576,1
e2e45cffc8c59bbce39642b8bb33135455770975,-1.0,sem relatório,0.0667,2,0,Estruturante,CENIN,8,2016,8.0,0,0,0,0.003401360544217687,448.0,66.3482280431433,24.486902927580893,0.007380073800738007,1
d4ff33d018b846fde083806eb94709817b85891a,0.0,sem relatório,,9,1,Estruturante,CENIN,6,2015,17.13932980599647,0,0,0,0.009009009009009009,206.8941798941799,66.3482280431433,24.486902927580893,0.011363636363636364,1
d4ff33d018b846fde083806eb94709817b85891a,0.0,em andamento,,9,1,Estruturante,CENIN,7,2015,6.0,0,0,0,0.009009009009009009,86.0,66.3482280431433,24.486902927580893,0.011363636363636364,1
d4ff33d018b846fde083806eb94709817b85891a,1.0,em andamento,,9,1,Estruturante,CENIN,8,2015,7.0,0,0,0,0.008264462809917356,54.0,66.3482280431433,24.486902927580893,0.01020408163265306,1
d4ff33d018b846fde083806eb94709817b85891a,1.0,sem relatório,,9,1,Estruturante,CENIN,9,2015,1.0,1,0,0,0.014925373134328358,29.0,66.3482280431433,24.486902927580893,0.018018018018018018,1
d4ff33d018b846fde083806eb94709817b85891a,0.0,em andamento,,9,1,Estruturante,CENIN,10,2015,28.0,1,1,0,0.01875,33.0,66.3482280431433,24.486902927580893,0.021897810218978103,1
d4ff33d018b846fde083806eb94709817b85891a,0.0,em andamento,,9,1,Estruturante,CENIN,11,2015,30.0,0,0,0,0.016304347826086956,31.0,66.3482280431433,24.486902927580893,0.018633540372670808,1
d4ff33d018b846fde083806eb94709817b85891a,0.0,em andamento,,9,1,Estruturante,CENIN,12,2015,17.13932980599647,0,0,0,0.014492753623188406,206.8941798941799,66.3482280431433,24.486902927580893,0.016304347826086956,1
d4ff33d018b846fde083806eb94709817b85891a,0.0,em andamento,,9,1,Estruturante,CENIN,1,2016,5.0,0,0,0,0.013392857142857142,55.0,66.3482280431433,24.486902927580893,0.014925373134328358,1
d4ff33d018b846fde083806eb94709817b85891a,0.0,sem relatório,,9,1,Estruturante,CENIN,2,2016,1.0,0,0,0,0.01293103448275862,-124.0,66.3482280431433,24.486902927580893,0.014354066985645933,1
d4ff33d018b846fde083806eb94709817b85891a,0.0,sem relatório,,9,1,Estruturante,CENIN,3,2016,17.13932980599647,0,0,0,0.012448132780082987,206.8941798941799,66.3482280431433,24.486902927580893,0.013761467889908258,1
d4ff33d018b846fde083806eb94709817b85891a,0.0,em andamento,,9,1,Estruturante,CENIN,4,2016,17.13932980599647,0,0,0,0.011450381679389313,206.8941798941799,66.3482280431433,24.486902927580893,0.012552301255230125,1
d4ff33d018b846fde083806eb94709817b85891a,0.0,sem relatório,,9,1,Estruturante,CENIN,5,2016,4.0,0,0,0,0.01107011070110701,-217.0,66.3482280431433,24.486902927580893,0.012096774193548387,1
d4ff33d018b846fde083806eb94709817b85891a,0.0,suspenso,,9,1,Estruturante,CENIN,6,2016,17.13932980599647,0,0,0,0.010714285714285714,206.8941798941799,66.3482280431433,24.486902927580893,0.011673151750972763,1
d4ff33d018b846fde083806eb94709817b85891a,0.0,suspenso,,9,1,Estruturante,CENIN,7,2016,4.0,0,0,0,0.010452961672473868,-278.0,66.3482280431433,24.486902927580893,0.011363636363636364,1
d4ff33d018b846fde083806eb94709817b85891a,-1.0,suspenso,,9,1,Estruturante,CENIN,8,2016,17.13932980599647,0,0,0,0.01020408163265306,206.8941798941799,66.3482280431433,24.486902927580893,0.01107011070110701,1
c2e61b8d8ac349572dc79cba22acefda7e8b14cb,0.0,não iniciado,0.8667,8,1,Estruturante,CENIN,6,2015,17.13932980599647,0,0,0,0.009009009009009009,206.8941798941799,66.3482280431433,24.486902927580893,0.011363636363636364,1
c2e61b8d8ac349572dc79cba22acefda7e8b14cb,0.0,não iniciado,0.8667,8,1,Estruturante,CENIN,7,2015,17.13932980599647,0,0,0,0.009009009009009009,206.8941798941799,66.3482280431433,24.486902927580893,0.011363636363636364,1
c2e61b8d8ac349572dc79cba22acefda7e8b14cb,0.0,em andamento,0.8667,8,1,Estruturante,CENIN,8,2015,17.13932980599647,0,0,0,0.008264462809917356,206.8941798941799,66.3482280431433,24.486902927580893,0.01020408163265306,1
c2e61b8d8ac349572dc79cba22acefda7e8b14cb,0.0,em andamento,0.8667,8,1,Estruturante,CENIN,9,2015,17.13932980599647,0,0,0,0.007462686567164179,206.8941798941799,66.3482280431433,24.486902927580893,0.009009009009009009,1
c2e61b8d8ac349572dc79cba22acefda7e8b14cb,0.0,em andamento,0.8667,8,1,Estruturante,CENIN,10,2015,29.0,0,0,0,0.00625,215.0,66.3482280431433,24.486902927580893,0.0072992700729927005,2
c2e61b8d8ac349572dc79cba22acefda7e8b14cb,0.0,em andamento,0.8667,8,1,Estruturante,CENIN,10,2015,1.0,0,0,0,0.00625,239.0,66.3482280431433,24.486902927580893,0.0072992700729927005,2
c2e61b8d8ac349572dc79cba22acefda7e8b14cb,0.0,em andamento,0.8667,8,1,Estruturante,CENIN,11,2015,17.13932980599647,0,0,0,0.005434782608695652,206.8941798941799,66.3482280431433,24.486902927580893,0.006211180124223602,1
c2e61b8d8ac349572dc79cba22acefda7e8b14cb,0.0,em andamento,0.8667,8,1,Estruturante,CENIN,12,2015,8.0,0,0,0,0.004830917874396135,234.0,66.3482280431433,24.486902927580893,0.005434782608695652,1
c2e61b8d8ac349572dc79cba22acefda7e8b14cb,0.0,em andamento,0.8667,8,1,Estruturante,CENIN,1,2016,5.0,0,0,0,0.004464285714285714,361.0,66.3482280431433,24.486902927580893,0.004975124378109453,1
c2e61b8d8ac349572dc79cba22acefda7e8b14cb,0.0,sem relatório,0.8667,8,1,Estruturante,CENIN,2,2016,1.0,0,0,0,0.004310344827586207,334.0,66.3482280431433,24.486902927580893,0.004784688995215311,1
c2e61b8d8ac349572dc79cba22acefda7e8b14cb,0.0,em andamento,0.8667,8,1,Estruturante,CENIN,3,2016,17.13932980599647,0,0,0,0.004149377593360996,206.8941798941799,66.3482280431433,24.486902927580893,0.0045871559633027525,1
c2e61b8d8ac349572dc79cba22acefda7e8b14cb,0.0,em andamento,0.8667,8,1,Estruturante,CENIN,4,2016,1.0,0,0,0,0.003816793893129771,274.0,66.3482280431433,24.486902927580893,0.0041841004184100415,1
c2e61b8d8ac349572dc79cba22acefda7e8b14cb,0.0,sem relatório,0.8667,8,1,Estruturante,CENIN,5,2016,3.0,0,0,0,0.0036900369003690036,242.0,66.3482280431433,24.486902927580893,0.004032258064516129,1
c2e61b8d8ac349572dc79cba22acefda7e8b14cb,1.0,em andamento,0.8667,8,1,Estruturante,CENIN,6,2016,17.13932980599647,0,0,0,0.0035714285714285713,206.8941798941799,66.3482280431433,24.486902927580893,0.0038910505836575876,1
c2e61b8d8ac349572dc79cba22acefda7e8b14cb,1.0,sem relatório,0.8667,8,1,Estruturante,CENIN,7,2016,1.0,1,0,0,0.006968641114982578,183.0,66.3482280431433,24.486902927580893,0.007575757575757576,1
c2e61b8d8ac349572dc79cba22acefda7e8b14cb,-1.0,em andamento,0.8667,8,1,Estruturante,CENIN,8,2016,17.13932980599647,1,1,0,0.01020408163265306,206.8941798941799,66.3482280431433,24.486902927580893,0.01107011070110701,1
12a652ab71e10606d7dc806bdba8ef2f3d5ac8a7,0.0,atividade,0.9692,12,1,Setorial,SECOM,7,2015,17.13932980599647,0,0,0,0.009009009009009009,206.8941798941799,66.3482280431433,24.486902927580893,0.011363636363636364,1
12a652ab71e10606d7dc806bdba8ef2f3d5ac8a7,0.0,em andamento,0.9692,12,1,Setorial,SECOM,8,2015,26.0,0,0,0,0.008264462809917356,287.0,66.3482280431433,24.486902927580893,0.01020408163265306,1
